Song ID,Song Name,Artist,Length,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,wav Path,Lyrics,Emotion
Song ID,Song Name,Artist,Length,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,wav Path,Lyrics,Emotion
7svpAkwc6xaSxlbZ7V7JiS,i was all over her,salvia palth,161462,0.529,0.353,7,-12.835,1,0.0292,0.788,0.853,0.116,0.0601,104.557,4,./wav_clips/i_was_all_over_her_0.wav,Lyrics not found,sad
7svpAkwc6xaSxlbZ7V7JiS,i was all over her,salvia palth,161462,0.529,0.353,7,-12.835,1,0.0292,0.788,0.853,0.116,0.0601,104.557,4,./wav_clips/i_was_all_over_her_1.wav,Lyrics not found,sad
7svpAkwc6xaSxlbZ7V7JiS,i was all over her,salvia palth,161462,0.529,0.353,7,-12.835,1,0.0292,0.788,0.853,0.116,0.0601,104.557,4,./wav_clips/i_was_all_over_her_2.wav,Lyrics not found,sad
6WlmEymaXKMRs3D2c4j6os,Inside Out,Duster,141040,0.553,0.465,9,-9.664,1,0.0301,0.84,0.97,0.102,0.652,79.223,4,./wav_clips/Inside_Out_0.wav,Lyrics not found,sad
6WlmEymaXKMRs3D2c4j6os,Inside Out,Duster,141040,0.553,0.465,9,-9.664,1,0.0301,0.84,0.97,0.102,0.652,79.223,4,./wav_clips/Inside_Out_1.wav,Lyrics not found,sad
6WlmEymaXKMRs3D2c4j6os,Inside Out,Duster,141040,0.553,0.465,9,-9.664,1,0.0301,0.84,0.97,0.102,0.652,79.223,4,./wav_clips/Inside_Out_2.wav,Lyrics not found,sad
7D0RhFcb3CrfPuTJ0obrod,Sparks,Coldplay,227093,0.371,0.268,1,-10.506,1,0.0281,0.748,0.0517,0.104,0.165,102.617,3,./wav_clips/Sparks_0.wav,"Paroles de la chanson Sparks par Coldplay
I know what you'll say,
You say, oh, sing one we know,
But I promise you this,
I'll always look out for you,
That's what I'll do.
I say oh,, I say oh.
My heart is yours,
It's you that I hold on to,
That's what I do,
And I know I was wrong,
But I won't let you down,
(oh yeah, oh yeah, oh yeah, yeah I will, yes I will...)
I say oh, I cry oh.
Yeah I saw sparks,
Yeah I saw sparks,

And I saw sparks,
Yeah I saw sparks,
Sing it out.
La, la, la, la, oh...
La, la, la, la, oh...
La, la, la, la, oh...",sad
7D0RhFcb3CrfPuTJ0obrod,Sparks,Coldplay,227093,0.371,0.268,1,-10.506,1,0.0281,0.748,0.0517,0.104,0.165,102.617,3,./wav_clips/Sparks_1.wav,"Paroles de la chanson Sparks par Coldplay
I know what you'll say,
You say, oh, sing one we know,
But I promise you this,
I'll always look out for you,
That's what I'll do.
I say oh,, I say oh.
My heart is yours,
It's you that I hold on to,
That's what I do,
And I know I was wrong,
But I won't let you down,
(oh yeah, oh yeah, oh yeah, yeah I will, yes I will...)
I say oh, I cry oh.
Yeah I saw sparks,
Yeah I saw sparks,

And I saw sparks,
Yeah I saw sparks,
Sing it out.
La, la, la, la, oh...
La, la, la, la, oh...
La, la, la, la, oh...",sad
7D0RhFcb3CrfPuTJ0obrod,Sparks,Coldplay,227093,0.371,0.268,1,-10.506,1,0.0281,0.748,0.0517,0.104,0.165,102.617,3,./wav_clips/Sparks_2.wav,"Paroles de la chanson Sparks par Coldplay
I know what you'll say,
You say, oh, sing one we know,
But I promise you this,
I'll always look out for you,
That's what I'll do.
I say oh,, I say oh.
My heart is yours,
It's you that I hold on to,
That's what I do,
And I know I was wrong,
But I won't let you down,
(oh yeah, oh yeah, oh yeah, yeah I will, yes I will...)
I say oh, I cry oh.
Yeah I saw sparks,
Yeah I saw sparks,

And I saw sparks,
Yeah I saw sparks,
Sing it out.
La, la, la, la, oh...
La, la, la, la, oh...
La, la, la, la, oh...",sad
