npy_path,emotion
./data_with_wav\openl3_embedding\i_was_all_over_her_0.npy,sad
./data_with_wav\openl3_embedding\i_was_all_over_her_1.npy,sad
./data_with_wav\openl3_embedding\i_was_all_over_her_2.npy,sad
./data_with_wav\openl3_embedding\Inside_Out_0.npy,sad
./data_with_wav\openl3_embedding\Inside_Out_1.npy,sad
./data_with_wav\openl3_embedding\Inside_Out_2.npy,sad
./data_with_wav\openl3_embedding\Sparks_0.npy,sad
./data_with_wav\openl3_embedding\Sparks_1.npy,sad
./data_with_wav\openl3_embedding\Sparks_2.npy,sad
./data_with_wav\openl3_embedding\The_Scientist_0.npy,sad
./data_with_wav\openl3_embedding\The_Scientist_1.npy,sad
./data_with_wav\openl3_embedding\The_Scientist_2.npy,sad
./data_with_wav\openl3_embedding\How_To_Disappear_Completely_0.npy,sad
./data_with_wav\openl3_embedding\How_To_Disappear_Completely_1.npy,sad
./data_with_wav\openl3_embedding\How_To_Disappear_Completely_2.npy,sad
./data_with_wav\openl3_embedding\Something_In_The_Way_0.npy,sad
./data_with_wav\openl3_embedding\Something_In_The_Way_1.npy,sad
./data_with_wav\openl3_embedding\Something_In_The_Way_2.npy,sad
./data_with_wav\openl3_embedding\Motion_Picture_Soundtrack_0.npy,sad
./data_with_wav\openl3_embedding\Motion_Picture_Soundtrack_1.npy,sad
./data_with_wav\openl3_embedding\Motion_Picture_Soundtrack_2.npy,sad
./data_with_wav\openl3_embedding\Hurt_0.npy,sad
./data_with_wav\openl3_embedding\Hurt_1.npy,sad
./data_with_wav\openl3_embedding\Hurt_2.npy,sad
./data_with_wav\openl3_embedding\I_Forget_Where_We_Were_0.npy,sad
./data_with_wav\openl3_embedding\I_Forget_Where_We_Were_1.npy,sad
./data_with_wav\openl3_embedding\I_Forget_Where_We_Were_2.npy,sad
./data_with_wav\openl3_embedding\Happiness_is_a_butterfly_0.npy,sad
./data_with_wav\openl3_embedding\Happiness_is_a_butterfly_1.npy,sad
./data_with_wav\openl3_embedding\Happiness_is_a_butterfly_2.npy,sad
./data_with_wav\openl3_embedding\Moon_Song_0.npy,sad
./data_with_wav\openl3_embedding\Moon_Song_1.npy,sad
./data_with_wav\openl3_embedding\Moon_Song_2.npy,sad
./data_with_wav\openl3_embedding\Fourth_of_July_0.npy,sad
./data_with_wav\openl3_embedding\Fourth_of_July_1.npy,sad
./data_with_wav\openl3_embedding\Fourth_of_July_2.npy,sad
./data_with_wav\openl3_embedding\Videotape_0.npy,sad
./data_with_wav\openl3_embedding\Videotape_1.npy,sad
./data_with_wav\openl3_embedding\Videotape_2.npy,sad
./data_with_wav\openl3_embedding\True_Love_Waits_0.npy,sad
./data_with_wav\openl3_embedding\True_Love_Waits_1.npy,sad
./data_with_wav\openl3_embedding\True_Love_Waits_2.npy,sad
./data_with_wav\openl3_embedding\Apocalypse_0.npy,sad
./data_with_wav\openl3_embedding\Apocalypse_1.npy,sad
./data_with_wav\openl3_embedding\Apocalypse_2.npy,sad
./data_with_wav\openl3_embedding\Become_the_Warm_Jets_0.npy,sad
./data_with_wav\openl3_embedding\Become_the_Warm_Jets_1.npy,sad
./data_with_wav\openl3_embedding\Become_the_Warm_Jets_2.npy,sad
./data_with_wav\openl3_embedding\My_Life_Is_A_Song_For_You_0.npy,sad
./data_with_wav\openl3_embedding\My_Life_Is_A_Song_For_You_1.npy,sad
./data_with_wav\openl3_embedding\My_Life_Is_A_Song_For_You_2.npy,sad
./data_with_wav\openl3_embedding\In_This_Shirt_0.npy,sad
./data_with_wav\openl3_embedding\In_This_Shirt_1.npy,sad
./data_with_wav\openl3_embedding\In_This_Shirt_2.npy,sad
./data_with_wav\openl3_embedding\By_Your_Side_0.npy,sad
./data_with_wav\openl3_embedding\By_Your_Side_1.npy,sad
./data_with_wav\openl3_embedding\By_Your_Side_2.npy,sad
./data_with_wav\openl3_embedding\Liability_0.npy,sad
./data_with_wav\openl3_embedding\Liability_1.npy,sad
./data_with_wav\openl3_embedding\Liability_2.npy,sad
./data_with_wav\openl3_embedding\Home_0.npy,sad
./data_with_wav\openl3_embedding\Home_1.npy,sad
./data_with_wav\openl3_embedding\Home_2.npy,sad
./data_with_wav\openl3_embedding\I_Didn't_Understand_0.npy,sad
./data_with_wav\openl3_embedding\I_Didn't_Understand_1.npy,sad
./data_with_wav\openl3_embedding\I_Didn't_Understand_2.npy,sad
./data_with_wav\openl3_embedding\Tears_in_Heaven_0.npy,sad
./data_with_wav\openl3_embedding\Tears_in_Heaven_1.npy,sad
./data_with_wav\openl3_embedding\Tears_in_Heaven_2.npy,sad
./data_with_wav\openl3_embedding\Unstable_0.npy,sad
./data_with_wav\openl3_embedding\Unstable_1.npy,sad
./data_with_wav\openl3_embedding\Unstable_2.npy,sad
./data_with_wav\openl3_embedding\Fine_Line_0.npy,sad
./data_with_wav\openl3_embedding\Fine_Line_1.npy,sad
./data_with_wav\openl3_embedding\Fine_Line_2.npy,sad
./data_with_wav\openl3_embedding\Nutshell_0.npy,sad
./data_with_wav\openl3_embedding\Nutshell_1.npy,sad
./data_with_wav\openl3_embedding\Nutshell_2.npy,sad
./data_with_wav\openl3_embedding\Hurt_0.npy,sad
./data_with_wav\openl3_embedding\Hurt_1.npy,sad
./data_with_wav\openl3_embedding\Hurt_2.npy,sad
./data_with_wav\openl3_embedding\Turning_Page_0.npy,sad
./data_with_wav\openl3_embedding\Turning_Page_1.npy,sad
./data_with_wav\openl3_embedding\Turning_Page_2.npy,sad
./data_with_wav\openl3_embedding\Killing_Time_0.npy,sad
./data_with_wav\openl3_embedding\Killing_Time_1.npy,sad
./data_with_wav\openl3_embedding\Killing_Time_2.npy,sad
./data_with_wav\openl3_embedding\this_is_me_trying_0.npy,sad
./data_with_wav\openl3_embedding\this_is_me_trying_1.npy,sad
./data_with_wav\openl3_embedding\this_is_me_trying_2.npy,sad
./data_with_wav\openl3_embedding\Paper_Thin_Hotel_0.npy,sad
./data_with_wav\openl3_embedding\Paper_Thin_Hotel_1.npy,sad
./data_with_wav\openl3_embedding\Paper_Thin_Hotel_2.npy,sad
./data_with_wav\openl3_embedding\post_traumatic_all-night-long_0.npy,sad
./data_with_wav\openl3_embedding\post_traumatic_all-night-long_1.npy,sad
./data_with_wav\openl3_embedding\post_traumatic_all-night-long_2.npy,sad
./data_with_wav\openl3_embedding\Somebody_Else_0.npy,sad
./data_with_wav\openl3_embedding\Somebody_Else_1.npy,sad
./data_with_wav\openl3_embedding\Somebody_Else_2.npy,sad
./data_with_wav\openl3_embedding\No_Surprises_0.npy,sad
./data_with_wav\openl3_embedding\No_Surprises_1.npy,sad
./data_with_wav\openl3_embedding\No_Surprises_2.npy,sad
./data_with_wav\openl3_embedding\haunt_me_(x_3)_0.npy,sad
./data_with_wav\openl3_embedding\haunt_me_(x_3)_1.npy,sad
./data_with_wav\openl3_embedding\haunt_me_(x_3)_2.npy,sad
./data_with_wav\openl3_embedding\Between_The_Bars_0.npy,sad
./data_with_wav\openl3_embedding\Between_The_Bars_1.npy,sad
./data_with_wav\openl3_embedding\Between_The_Bars_2.npy,sad
./data_with_wav\openl3_embedding\John_Wayne_0.npy,sad
./data_with_wav\openl3_embedding\John_Wayne_1.npy,sad
./data_with_wav\openl3_embedding\John_Wayne_2.npy,sad
./data_with_wav\openl3_embedding\Breathe_Me_0.npy,sad
./data_with_wav\openl3_embedding\Breathe_Me_1.npy,sad
./data_with_wav\openl3_embedding\Breathe_Me_2.npy,sad
./data_with_wav\openl3_embedding\I_Exist_I_Exist_I_Exist_0.npy,sad
./data_with_wav\openl3_embedding\I_Exist_I_Exist_I_Exist_1.npy,sad
./data_with_wav\openl3_embedding\I_Exist_I_Exist_I_Exist_2.npy,sad
./data_with_wav\openl3_embedding\Fake_Plastic_Trees_0.npy,sad
./data_with_wav\openl3_embedding\Fake_Plastic_Trees_1.npy,sad
./data_with_wav\openl3_embedding\Fake_Plastic_Trees_2.npy,sad
./data_with_wav\openl3_embedding\girl_0.npy,sad
./data_with_wav\openl3_embedding\girl_1.npy,sad
./data_with_wav\openl3_embedding\girl_2.npy,sad
./data_with_wav\openl3_embedding\Beach_Baby_0.npy,sad
./data_with_wav\openl3_embedding\Beach_Baby_1.npy,sad
./data_with_wav\openl3_embedding\Beach_Baby_2.npy,sad
./data_with_wav\openl3_embedding\I_Bet_on_Losing_Dogs_0.npy,sad
./data_with_wav\openl3_embedding\I_Bet_on_Losing_Dogs_1.npy,sad
./data_with_wav\openl3_embedding\I_Bet_on_Losing_Dogs_2.npy,sad
./data_with_wav\openl3_embedding\Another_Love_0.npy,sad
./data_with_wav\openl3_embedding\Another_Love_1.npy,sad
./data_with_wav\openl3_embedding\Another_Love_2.npy,sad
./data_with_wav\openl3_embedding\Berlin_0.npy,sad
./data_with_wav\openl3_embedding\Berlin_1.npy,sad
./data_with_wav\openl3_embedding\Berlin_2.npy,sad
./data_with_wav\openl3_embedding\It's_Ok_0.npy,sad
./data_with_wav\openl3_embedding\It's_Ok_1.npy,sad
./data_with_wav\openl3_embedding\It's_Ok_2.npy,sad
./data_with_wav\openl3_embedding\The_Night_We_Met_0.npy,sad
./data_with_wav\openl3_embedding\The_Night_We_Met_1.npy,sad
./data_with_wav\openl3_embedding\The_Night_We_Met_2.npy,sad
./data_with_wav\openl3_embedding\Boys_Will_Be_Boys_0.npy,sad
./data_with_wav\openl3_embedding\Boys_Will_Be_Boys_1.npy,sad
./data_with_wav\openl3_embedding\Boys_Will_Be_Boys_2.npy,sad
./data_with_wav\openl3_embedding\Eleanor_Rigby_-_Remastered_0.npy,sad
./data_with_wav\openl3_embedding\Eleanor_Rigby_-_Remastered_1.npy,sad
./data_with_wav\openl3_embedding\Eleanor_Rigby_-_Remastered_2.npy,sad
./data_with_wav\openl3_embedding\Liquid_Ghost_0.npy,sad
./data_with_wav\openl3_embedding\Liquid_Ghost_1.npy,sad
./data_with_wav\openl3_embedding\Liquid_Ghost_2.npy,sad
./data_with_wav\openl3_embedding\Je_te_laisserai_des_mots_0.npy,sad
./data_with_wav\openl3_embedding\Je_te_laisserai_des_mots_1.npy,sad
./data_with_wav\openl3_embedding\Je_te_laisserai_des_mots_2.npy,sad
./data_with_wav\openl3_embedding\everything_i_wanted_0.npy,sad
./data_with_wav\openl3_embedding\everything_i_wanted_1.npy,sad
./data_with_wav\openl3_embedding\everything_i_wanted_2.npy,sad
./data_with_wav\openl3_embedding\Asleep_-_2011_Remaster_0.npy,sad
./data_with_wav\openl3_embedding\Asleep_-_2011_Remaster_1.npy,sad
./data_with_wav\openl3_embedding\Asleep_-_2011_Remaster_2.npy,sad
./data_with_wav\openl3_embedding\No_Surprises_0.npy,sad
./data_with_wav\openl3_embedding\No_Surprises_1.npy,sad
./data_with_wav\openl3_embedding\No_Surprises_2.npy,sad
./data_with_wav\openl3_embedding\worldstar_money_(interlude)_0.npy,sad
./data_with_wav\openl3_embedding\worldstar_money_(interlude)_1.npy,sad
./data_with_wav\openl3_embedding\worldstar_money_(interlude)_2.npy,sad
./data_with_wav\openl3_embedding\Wash._0.npy,sad
./data_with_wav\openl3_embedding\Wash._1.npy,sad
./data_with_wav\openl3_embedding\Wash._2.npy,sad
./data_with_wav\openl3_embedding\Videotape_0.npy,sad
./data_with_wav\openl3_embedding\Videotape_1.npy,sad
./data_with_wav\openl3_embedding\Videotape_2.npy,sad
./data_with_wav\openl3_embedding\Medicine_0.npy,sad
./data_with_wav\openl3_embedding\Medicine_1.npy,sad
./data_with_wav\openl3_embedding\Medicine_2.npy,sad
./data_with_wav\openl3_embedding\You_Broke_My_Heart_0.npy,sad
./data_with_wav\openl3_embedding\You_Broke_My_Heart_1.npy,sad
./data_with_wav\openl3_embedding\You_Broke_My_Heart_2.npy,sad
./data_with_wav\openl3_embedding\He_Left_0.npy,sad
./data_with_wav\openl3_embedding\He_Left_1.npy,sad
./data_with_wav\openl3_embedding\He_Left_2.npy,sad
